SAMPLE	ROLE	FAMILY	HAP1	HAP2
HG01071_hap2	hap2	HG01071	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01071_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01071_2.paf
HG01074_hap1	hap1	HG01074	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01074_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01074_1.paf
HG01074_hap2	hap2	HG01074	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01074_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01074_2.paf
HG01081_hap1	hap1	HG01081	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01081_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01081_1.paf
HG01081_hap2	hap2	HG01081	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01081_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01081_2.paf
HG01092_hap1	hap1	HG01092	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01092_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01092_1.paf
HG01092_hap2	hap2	HG01092	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01092_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01092_2.paf
HG01099_hap1	hap1	HG01099	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01099_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01099_1.paf
HG01099_hap2	hap2	HG01099	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01099_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01099_2.paf
HG01106_hap1	hap1	HG01106	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01106_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01106_1.paf
HG01106_hap2	hap2	HG01106	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01106_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01106_2.paf
HG01109_hap1	hap1	HG01109	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01109_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01109_1.paf
HG01109_hap2	hap2	HG01109	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01109_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01109_2.paf
HG01114_hap1	hap1	HG01114	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01114_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01114_1.paf
HG01114_hap1	hap1	HG01114	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01114_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01114_1.paf
HG01114_hap2	hap2	HG01114	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01114_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01114_2.paf
HG01114_hap2	hap2	HG01114	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01114_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01114_2.paf
HG01122_hap1	hap1	HG01122	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01122_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01122_1.paf
HG01122_hap2	hap2	HG01122	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01122_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01122_2.paf
HG01123_hap1	hap1	HG01123	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01123_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01123_1.paf
HG01123_hap2	hap2	HG01123	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01123_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01123_2.paf
HG01150_hap1	hap1	HG01150	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01150_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01150_1.paf
HG01150_hap2	hap2	HG01150	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01150_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01150_2.paf
HG01161_hap1	hap1	HG01161	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01161_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01161_1.paf
HG01161_hap2	hap2	HG01161	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01161_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01161_2.paf
HG01164_hap1	hap1	HG01164	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01164_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01164_1.paf
HG01164_hap2	hap2	HG01164	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01164_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01164_2.paf
HG01167_hap1	hap1	HG01167	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01167_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01167_1.paf
HG01167_hap2	hap2	HG01167	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01167_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01167_2.paf
HG01175_hap1	hap1	HG01175	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01175_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01175_1.paf
HG01175_hap2	hap2	HG01175	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01175_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01175_2.paf
HG01192_hap1	hap1	HG01192	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01192_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01192_1.paf
HG01192_hap2	hap2	HG01192	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01192_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01192_2.paf
HG01243_hap1	hap1	HG01243	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01243_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01243_1.paf
HG01243_hap2	hap2	HG01243	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01243_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01243_2.paf
HG01252_hap1	hap1	HG01252	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01252_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01252_1.paf
HG01252_hap2	hap2	HG01252	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01252_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01252_2.paf
HG01255_hap1	hap1	HG01255	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01255_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01255_1.paf
HG01255_hap2	hap2	HG01255	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01255_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01255_2.paf
HG01258_hap1	hap1	HG01258	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01258_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01258_1.paf
HG01258_hap1	hap1	HG01258	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01258_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01258_1.paf
HG01258_hap2	hap2	HG01258	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01258_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01258_2.paf
HG01258_hap2	hap2	HG01258	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01258_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01258_2.paf
HG01261_hap1	hap1	HG01261	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01261_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01261_1.paf
HG01261_hap2	hap2	HG01261	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01261_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01261_2.paf
HG01281_hap1	hap1	HG01281	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01281_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01281_1.paf
HG01281_hap2	hap2	HG01281	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01281_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01281_2.paf
HG01312_hap1	hap1	HG01312	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01312_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01312_1.paf
HG01312_hap2	hap2	HG01312	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01312_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01312_2.paf
HG01346_hap1	hap1	HG01346	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01346_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01346_1.paf
HG01346_hap2	hap2	HG01346	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01346_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01346_2.paf
HG01352_hap1	hap1	HG01352	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01352_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01352_1.paf
HG01352_hap1	hap1	HG01352	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01352_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01352_1.paf
HG01352_hap2	hap2	HG01352	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01352_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01352_2.paf
HG01352_hap2	hap2	HG01352	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01352_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01352_2.paf
HG01358_hap1	hap1	HG01358	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01358_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01358_1.paf
HG01358_hap2	hap2	HG01358	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01358_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01358_2.paf
HG01361_hap1	hap1	HG01361	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01361_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01361_1.paf
HG01361_hap2	hap2	HG01361	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01361_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01361_2.paf
HG01363_hap1	hap1	HG01363	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01363_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01363_1.paf
HG01363_hap2	hap2	HG01363	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01363_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01363_2.paf
HG01369_hap1	hap1	HG01369	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01369_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01369_1.paf
HG01369_hap2	hap2	HG01369	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01369_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01369_2.paf
HG01372_hap1	hap1	HG01372	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01372_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01372_1.paf
HG01372_hap2	hap2	HG01372	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01372_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01372_2.paf
HG01393_hap1	hap1	HG01393	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01393_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01393_1.paf
HG01393_hap2	hap2	HG01393	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01393_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01393_2.paf
HG01395_hap1	hap1	HG01395	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01395_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01395_1.paf
HG01395_hap2	hap2	HG01395	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01395_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01395_2.paf
HG01414_hap1	hap1	HG01414	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01414_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01414_1.paf
HG01414_hap2	hap2	HG01414	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01414_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01414_2.paf
HG01433_hap1	hap1	HG01433	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01433_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01433_1.paf
HG01433_hap2	hap2	HG01433	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01433_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01433_2.paf
HG01457_hap1	hap1	HG01457	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01457_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01457_1.paf
HG01457_hap1	hap1	HG01457	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01457_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01457_1.paf
HG01457_hap2	hap2	HG01457	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01457_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01457_2.paf
HG01457_hap2	hap2	HG01457	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01457_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01457_2.paf
HG01468_hap1	hap1	HG01468	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01468_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01468_1.paf
HG01468_hap2	hap2	HG01468	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01468_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01468_2.paf
HG01486_hap1	hap1	HG01486	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01486_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01486_1.paf
HG01486_hap2	hap2	HG01486	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01486_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01486_2.paf
HG01496_hap1	hap1	HG01496	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01496_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01496_1.paf
HG01496_hap2	hap2	HG01496	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01496_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01496_2.paf
HG01501_hap1	hap1	HG01501	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01501_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01501_1.paf
HG01501_hap2	hap2	HG01501	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01501_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01501_2.paf
HG01505_hap1	hap1	HG01505	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01505_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01505_1.paf
HG01505_hap1	hap1	HG01505	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01505_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01505_1.paf
HG01505_hap2	hap2	HG01505	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01505_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01505_2.paf
HG01505_hap2	hap2	HG01505	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01505_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01505_2.paf
HG01511_hap1	hap1	HG01511	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01511_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01511_1.paf
HG01511_hap2	hap2	HG01511	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01511_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01511_2.paf
HG01522_hap1	hap1	HG01522	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01522_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01522_1.paf
HG01522_hap2	hap2	HG01522	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01522_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01522_2.paf
HG01530_hap1	hap1	HG01530	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01530_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01530_1.paf
HG01530_hap2	hap2	HG01530	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01530_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01530_2.paf
HG01573_hap1	hap1	HG01573	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01573_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01573_1.paf
HG01573_hap1	hap1	HG01573	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01573_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01573_1.paf
HG01573_hap2	hap2	HG01573	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01573_2.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01573_2.paf
HG01573_hap2	hap2	HG01573	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01573_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/asm-to-reference-alignment/results/CHM13/paf/HG01573_2.paf
HG01593_hap1	hap1	HG01593	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01593_1.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01593_1.paf
HG01593_hap2	hap2	HG01593	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01593_2.paf	/net/eichler/vol28/projects/medical_reference/nobackups/UW_ONT/NAPU/asm_to_ref/CHM13/paf/HG01593_2.paf
HG01596_hap1	hap1	HG01596	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01596_1.paf	/net/eichler/vol28/projects/hprc/nobackups/align/asm-to-reference-alignment/results/CHM13/paf/HG01596_1.paf
